net,mu,bwd,k,D_cfg,T,T_max,acl
NN4,16,T,1,1e-08,0.0009097466523319444,0.0009097466523319446,"[64, 63, 64, 49, 63, 32, 1]"
NN4,16,T,1,1e-07,0.0009108266523319444,0.0009108266523319445,"[64, 63, 64, 49, 63, 32, 1]"
NN4,16,T,1,1e-06,0.0009216266523319447,0.0009216266523319446,"[64, 63, 64, 49, 63, 32, 1]"
NN4,16,T,4,1e-09,0.0008789292405672386,0.0008789292405672387,"[64, 63, 64, 49, 63, 32, 1]"
NN4,16,T,4,1e-08,0.0008790372405672386,0.0008790372405672387,"[64, 63, 64, 49, 63, 32, 1]"
NN4,16,T,4,1e-07,0.0008801172405672387,0.0008801172405672387,"[64, 63, 64, 49, 63, 32, 1]"
NN4,16,T,4,1e-06,0.0008909172405672387,0.0008909172405672386,"[64, 63, 64, 49, 63, 32, 1]"
NN4,32,R,1,1e-09,0.002424991458530546,0.002432445576177605,"[64, 64, 51, 49, 63, 32, 1]"
NN4,32,R,1,1e-08,0.002425099458530546,0.0024325535761776044,"[64, 63, 51, 49, 63, 32, 1]"
NN4,32,R,1,1e-07,0.0024261794585305457,0.002433633576177605,"[64, 63, 51, 49, 63, 32, 1]"
NN4,32,R,1,1e-06,0.002436979458530546,0.002444433576177605,"[64, 64, 51, 49, 63, 32, 1]"
NN4,32,R,4,1e-09,0.0018222949879423106,0.0018241585173540751,"[64, 63, 51, 49, 63, 32, 1]"
NN4,32,R,4,1e-08,0.0018224029879423105,0.0018242665173540753,"[64, 63, 51, 49, 63, 32, 1]"
NN4,32,R,4,1e-07,0.0018234829879423106,0.0018253465173540752,"[64, 63, 51, 49, 63, 32, 1]"
NN4,32,R,4,1e-06,0.0018342829879423107,0.001836146517354075,"[64, 64, 51, 49, 63, 32, 1]"
NN4,32,T,1,1e-09,0.0018388623955358176,0.0018388623955358173,"[64, 63, 64, 49, 63, 32, 1]"
NN4,32,T,1,1e-08,0.0018389703955358175,0.0018389703955358173,"[64, 63, 64, 49, 63, 32, 1]"
NN4,32,T,1,1e-07,0.0018400503955358174,0.0018400503955358174,"[64, 63, 64, 49, 63, 32, 1]"
NN4,32,T,1,1e-06,0.0018508503955358177,0.0018508503955358174,"[64, 63, 64, 49, 63, 32, 1]"
NN4,32,T,4,1e-09,0.001777443572006406,0.0017774435720064056,"[64, 63, 64, 49, 63, 32, 1]"
NN4,32,T,4,1e-08,0.0017775515720064054,0.0017775515720064056,"[64, 63, 64, 49, 63, 32, 1]"
NN4,32,T,4,1e-07,0.0017786315720064053,0.0017786315720064057,"[64, 63, 64, 49, 63, 32, 1]"
